,Unnamed: 0,Player Name,Player ID,Home Runs,Player Quote,Batting Hand,College
0,0,Barry Bonds,bondsba01,762,"""I like to be against the odds. I'm not afraid to be lonely at the top. With me, it's just the satisfaction of the game. Just performance."" - Barry Bonds [Barry Bonds Quotes]",Left,Arizona State University
1,1,Hank Aaron,aaronha01,755,"""As far as I'm concerned, (Hank) Aaron is the best ball player of my era. He is to baseball of the last fifteen years what Joe DiMaggio was before him. He's never received the credit he's due."" - Mantle, Mickey. Baseball Digest. June 1970. Page 18. [Hank Aaron Quotes]",Right,None Attended
2,2,Babe Ruth,ruthba01,714,"""The way a team plays as a whole determines its success. You may have the greatest stars in the world, but if they don't play together, the club won't be worth a dime"" - Ruth, Babe. Pinstripe Quotes: The Wit and Wisdom of the New York Yankees. Clougherty, Henry. Author. Sports Publishing. 22 February 2013. Page 201. [Babe Ruth Quotes]",Left,None Attended
3,3,Albert Pujols,pujolal01,703,"""He (Albert Pujols) has a passion for the game, a love for the game. You can see it. You can sense it. He's got natural God-given ability. A natural baseball player. A warrior. The man is good at every little thing he does."" - Former St. Louis Cardinals Hitting Coach (1999–2001) Mike Easler [Albert Pujols Quotes]",Right,MCC-Maple Woods
4,4,Alex Rodriguez,rodrial01,696,"""Alex (Rodriguez) is going to be among the elite. If he comes even close to the season he had last year, he'll be in his own league. You try to compare him to somebody, but you can't. He is the only one who has done what he has done."" - Alan Trammell (November 1999)",Right,None Attended
5,5,Willie Mays,mayswi01,660,"""No record book reflects this kind of concentration, determination, perseverance or ability. As a player, Willie Mays could never be captured by mere statistics."" - Sportswriter Harry Jupiter in The San Francisco Chronicle [Willie Mays Quotes]",Right,None Attended
6,6,"Ken Griffey, Jr.",griffke02,630,"""Well, my dad (Ken Griffey) taught me that there's three parts. There's hitting, there's defense, and there's baserunning. And as long as you keep those three separated, you're going to be a good player. I mean, you can't take your defense on the bases, you can't take your hitting to the field, and you can't take your baserunning at the plate. But defense, is number one."" - Griffey Jr., Ken. ESPN Network. Behind The Lines Interview. 13 April 2008. [Ken Griffey, Jr. Quotes]",Left,None Attended
7,7,Jim Thome,thomeji01,612,"""As a player, you don't really try to think about that (upset fans) too much. You want to go out and concentrate and do your job. That's just how I want to approach it. The fans have a right to boo, you know? If they boo, it's because you're not doing your job. You just try to go out and do the best you can."" - Thome, Jim. Sports Illustrated. 2 March 2003. Page 17.",Left,Illinois Central College
8,8,Sammy Sosa,sosasa01,609,"""Playing in the afternoon with the sun shining, it's like playing in heaven."" - Sosa, Sammy. All the Babe's Men: Baseball's Greatest Home Run Seasons and How They Changed America. Ham, Eldon L. Author. Potomac Books. 1 March 2013.",Right,None Attended
9,9,Frank Robinson,robinfr02,586,"""'I won the fight.' His teammates, who had seen the one-sided affair, stared questioningly. 'I had a homer and a double,' explained Robby, 'drove in one run, scored another and made a catch that robbed (Eddie) Mathews of an extra-base hit. We won the second game 4-0. I won the fight.' Interesting logic? Maybe so. But it is the kind of thinking that has made Frank Robinson one of the most startling men in baseball and a nostalgic carry-back to the old days of the game — the days of hard hitting and harder fielding, of bench sniping, occasional brawls and plain old cussedness. Robinson has variously been called a sorehead, a sadist and a 'black Ty Cobb.' He has been dismissed as a loafer and criticized as a viciously agressive player. Says Robinson himself, in phrases reminisecent of Cobb: 'I am not a fancy guy, not a glamour boy. I don't believe I intrigue the fans and obviously I don't interest the sportswriters. All that I am is an uncomplicated, single-minded guy. And my single-mindedness is baseball."" - Ebony Magazine. September 1966. FRANK ROBINSON: HAWK AMONG THE ORIOLES. Page 88. [Frank Robinson Quotes]",Right,Xavier University (DNP)
